"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-11 13:08:17.905Z",   3554932, 867700000,0, 6,"CRC_OK" , 37,"LORA",125000,"SF7"   ,"4/5",-105, -3.5,"40BC7E4A-018025EE-08C8F265-5F0770E1-457E98C7-8CAFB338-B15C3958-7D9E14C9-03AD9217-B0"
"2E76B17A0F712728","","2026-01-11 13:08:24.101Z",   9746060, 868300000,1, 1,"CRC_OK" , 23,"LORA",125000,"SF10"  ,"4/5",-93, +8.5,"00060000-00000000-80094B30-3220F1F7-2CF00EC7-21A546"
"2E76B17A0F712728","","2026-01-11 13:08:31.497Z",  17148011, 868100000,1, 0,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-106, -3.0,"40BC7E4A-018026EE-08552D86-3D4FAE"
"2E76B17A0F712728","","2026-01-11 13:08:39.945Z",  25593964, 868100000,1, 0,"CRC_OK" , 23,"LORA",125000,"SF9"   ,"4/5",-97, +9.8,"00060000-00000000-80094B30-3220F1F7-2CA6F7A3-868455"
"2E76B17A0F712728","","2026-01-11 13:09:14.087Z",  59738396, 867500000,0, 5,"CRC_BAD", 55,"LORA",125000,"SF7"   ,"4/5",-107,-11.5,"EE64D774-BD6CC712-C03CA82E-2C039242-D6808BCF-979B76AA-0289B630-E6B36FFE-74FEC2E5-4BD01B79-68282A0B-53E521A0-44ACB0AA-A2D6BA"
"2E76B17A0F712728","","2026-01-11 13:09:24.326Z",  69976044, 867700000,0, 6,"CRC_BAD",155,"LORA",125000,"SF7"   ,"4/5",-107,-11.2,"B7BDE9E2-B5678514-29376B72-DC404183-61F2446D-C465E668-9E94070F-0991CE16-1C7E45F0-82B10404-86ABE60D-8D1C61FF-D5A23C63-1C44402F-BEE3099F-96F791C1-A575D29A-C90E4AB6-CE8E9EA1-08D407F1-B228F612-31127D9F-514798AB-D07FF8F9-24CCD5EF-B0DEBD83-57027FCD-64770CAB-98707C05-12C4CA47-EC58D296-3413AC8C-714CFDB5-EAAEF41F-931BBACC-489ED016-9789E7D3-3FAB0440-574A0C"
"2E76B17A0F712728","","2026-01-11 13:09:31.728Z",  77379675, 868500000,1, 2,"CRC_BAD",143,"LORA",125000,"SF7"   ,""   ,-108,-11.2,"3D776C53-68ACC82D-193F57BF-B584B997-A8FD281D-78589E63-D24E340C-09646A08-9F096CE8-EEF810FA-764B5F07-A4D92A87-C2B39110-374DDB90-073F19E4-85229AAD-CE83226F-CBEEC0B2-C264EF7A-A977FE27-004F9FC2-519CE10E-B8BAD3C1-2D2FFB0F-1BAEB134-95101D2D-F92C4546-186B8813-E3ED669F-CB08485D-B141E719-D9101F88-E9D6F726-D522E337-98A62F82-14BAE8"
"2E76B17A0F712728","","2026-01-11 13:09:51.105Z",  96757187, 867300000,0, 4,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-107, -2.2,"40BC7E4A-018027EE-08DBD92E-D8F1008C-503353AE-98C5C861-111416F4-91"
"2E76B17A0F712728","","2026-01-11 13:10:04.751Z", 110401020, 867500000,0, 5,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-105, -2.8,"40BC7E4A-018028EE-083343C4-3D8032CB-24FCCDEA-8F649106-65B974B7-4C"
"2E76B17A0F712728","","2026-01-11 13:10:18.395Z", 124046067, 867100000,0, 3,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-108, -2.5,"40BC7E4A-018029EE-087C860D-32E3A3BD-711794A1-E71783FC-F361BC18-B2"
"2E76B17A0F712728","","2026-01-11 13:10:18.498Z", 124148483, 867100000,0, 3,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-39,+10.2,"4085A895-00809304-02C1FBA3-35C4C95B-B3797465-6D1E002A-0814C172-E8"
"2E76B17A0F712728","","2026-01-11 13:10:32.024Z", 137673683, 867100000,0, 3,"CRC_OK" , 22,"LORA",125000,"SF7"   ,"4/5",-108, -2.2,"40BC7E4A-01802AEE-081E1F4F-277C3EDA-48AB22BB-37A6"
"2E76B17A0F712728","","2026-01-11 13:10:45.694Z", 151345219, 868300000,1, 1,"CRC_OK" , 35,"LORA",125000,"SF7"   ,"4/5",-106, -3.8,"40BC7E4A-01802BEE-0823B4F0-AACCCDAF-3AA2DB5B-20822A77-C8EE8B79-A662B802-0A96AB"
"2E76B17A0F712728","","2026-01-11 13:10:46.331Z", 151982132, 867700000,0, 6,"CRC_BAD",126,"LORA",125000,"SF7"   ,""   ,-107,-11.0,"1C6CF6CD-FAE1CA9E-ED700670-E4F7A768-00346B66-C9907111-702F7DDC-D49C0221-5DDF4C79-CD09A2CC-A8D6C5EB-3DAC9F46-43C7AC0F-8DC13339-BB78EA11-C353991A-47FAC0DA-0820009B-C6E8BB30-542229C4-97A1AE41-F76830C8-0F94A532-D1E18ABA-86ECECDE-D214E9D1-B7172623-BE81E1A5-7278EF7F-8C1DA63D-DCB07C4E-DAB8"
