"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-11 13:16:37.092Z",   5367236, 867700000,0, 6,"CRC_OK" , 36,"LORA",125000,"SF7"   ,"4/5",-105, -2.8,"40BC7E4A-018045EE-084A190D-DABD6240-21E36266-EE9614D8-37CD8CE6-F835C451-A260EA23"
"2E76B17A0F712728","","2026-01-11 13:17:18.124Z",  46402724, 867700000,0, 6,"CRC_OK" , 53,"LORA",125000,"SF7"   ,"4/5",-106, -2.0,"40BC7E4A-018048EE-08399CC4-E3E8156E-38F91D8C-D4BD0AAE-86C611F9-663D1AD1-22FEACCE-B94A5AFB-91295074-4CB77382-1EC1A514-56"
"2E76B17A0F712728","","2026-01-11 13:18:12.813Z", 101086515, 867100000,0, 3,"CRC_BAD", 90,"LORA",125000,"SF7"   ,"1/2",-109,-12.0,"BFEF1403-C0AECC73-1E5AD76B-281D9354-CE0E901B-4D9ECE32-0E15C384-66F02441-FAE90B5C-F35FCC09-D742B8BC-4FA80485-DFB7F6FC-0CD149EF-7B8CE69F-25AC62E9-8AF161BB-00B4030A-23045040-FD166986-B40EFDAB-DAB19EB7-FE23"
"2E76B17A0F712728","","2026-01-11 13:18:26.299Z", 114577468, 867900000,0, 7,"CRC_OK" , 25,"LORA",125000,"SF7"   ,"4/5",-108, -2.2,"40BC7E4A-01804DEE-087F3242-9BF4D0BB-55F5DE8C-2F95414C-7D"
"2E76B17A0F712728","","2026-01-11 13:18:40.009Z", 128287340, 867900000,0, 7,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-106, -3.2,"40BC7E4A-01804EEE-086BC678-823D44B4-10DC883D-378E9BD7-3614EA0E-C2DD5C35-9F6B1367-D7F849B2-5BD1A228-3E4F8EEC-3D43D27F-3FE5"
"2E76B17A0F712728","","2026-01-11 13:19:20.989Z", 169267187, 868500000,1, 2,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-106, -4.2,"40BC7E4A-018051EE-082C2B78-0F9AD4D3-F88D7A4C-8B475CBB-E5590C07-56DBBD5E-4074A6DA-A068970D-E8755251-4DD4412F-1A7343ED-92CD"
"2E76B17A0F712728","","2026-01-11 13:19:34.658Z", 182937131, 867100000,0, 3,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-107, -2.8,"40BC7E4A-018052EE-08D3524E-9719EF96-46B976EE-93FEFE84-E878D84F-D4D913FE-2AB35C42-DBB74A81-96631144-F1E251FB-A21315C7-CF0D"
"2E76B17A0F712728","","2026-01-11 13:20:01.968Z", 210247011, 868300000,1, 1,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-107, -4.5,"40BC7E4A-018054EE-0892836E-24684A0E-74708237-6FBCD849-515BB55B-13D6761F-5C55F139-0955EF1E-E96FEC71-69773216-3F012F6E-BE2E"
"2E76B17A0F712728","","2026-01-11 13:20:29.245Z", 237523075, 868100000,1, 0,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-108, -2.5,"40BC7E4A-018056EE-08184F35-80EC7CDA-22CDDACE-53960425-BB2E86"
"2E76B17A0F712728","","2026-01-11 13:21:10.170Z", 278450923, 868500000,1, 2,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-106, -4.0,"40BC7E4A-018059EE-08FAEDF0-A64E511B-E0A84468-FB86F357-A00D4A"
"2E76B17A0F712728","","2026-01-11 13:21:37.456Z", 305735795, 868300000,1, 1,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-107, -4.0,"40BC7E4A-01805BEE-081E40B7-6F9254A3-28091D23-9C1B45FD-5EA4B3"
"2E76B17A0F712728","","2026-01-11 13:23:13.047Z",  27571427, 867300000,0, 4,"CRC_OK" , 24,"LORA",125000,"SF7"   ,"4/5",-107, -2.2,"40BC7E4A-018062EE-08D7DA6B-B8DB5E7F-7067DFFE-3D7A301E"
"2E76B17A0F712728","","2026-01-11 13:23:14.126Z",  28650020, 867500000,0, 5,"CRC_OK" , 18,"LORA",125000,"SF7"   ,"4/5",-31, +7.5,"40559CF2-01801000-0832ECF3-6A336C0A-51CC"
"2E76B17A0F712728","","2026-01-11 13:23:40.427Z",  54951251, 868300000,1, 1,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-107, -4.2,"40BC7E4A-018064EE-08A27466-6B9F7BC7-1E9DAFEC-3FAE993B-B5CF5031-0184A979-EC859CEE-66C87C61-0E78C4D3-74EC6F9E-DD43E227-F540"
"2E76B17A0F712728","","2026-01-11 13:39:16.611Z",   9392419, 868300000,1, 1,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-107, -3.5,"40BC7E4A-0180A4EE-083625CB-631E8629-39D55A04-A1CB5D40-88D4514E-AA6A4704-A18D8F73-D5AD6EDE-50C196BB-F679C2D0-4C974117-556C"
"2E76B17A0F712728","","2026-01-11 13:40:49.981Z",  26934580, 867900000,0, 7,"CRC_BAD",235,"LORA",125000,"SF7"   ,"4/5",-108,-11.5,"3367325C-CF353F05-F8D206AA-2BB6DB01-2E59AA90-F35AA674-DE9C54F0-FD82DE5B-9BE65B70-D50A1F1B-A35297E7-1EBB8B22-7CDF1F21-0A854FCD-DB943F82-67ACE105-D5AC5EED-41B68F50-C301E1EB-1A1980F1-DD043C10-7AF55253-9AC941D0-C9940886-97D1A7C0-7FF85963-A6C7270D-7E9D23A4-5995F34E-032A3C43-72C9228C-23188A79-6ECBCF63-2BFD0577-8BAABD7B-074014B5-642B9563-B80F5DA8-D3521239-D7B6FB63-B91FA3A5-CCB774FC-5BC1F925-720BD9FE-31D29C7E-42FCA488-335B6A75-C3E39DA4-57248CCA-B594EDC9-A1E0D798-9BC3D2CF-B6E38F07-F9BFD5D2-69A2BF3D-DC82013B-545B3E45-6AF39259-6F00C1"
"2E76B17A0F712728","","2026-01-11 13:40:52.193Z",  29149363, 868100000,1, 0,"CRC_OK" , 37,"LORA",125000,"SF7"   ,"4/5",-106, -2.0,"40BC7E4A-0180ABEE-087E55BA-6A1C3D0C-C0D40DE3-6CAAD55D-C1225B22-8BDC85E6-8C343A24-D1"
"2E76B17A0F712728","","2026-01-11 13:41:02.605Z",  39552900, 867900000,0, 7,"CRC_BAD",164,"LORA",125000,"SF7"   ,"4/5",-109,-11.0,"B06AB7ED-1608AAE9-CE953B5C-DF690232-FC44B0C9-09F62471-66B1A113-46574A23-11D65817-35D21BF8-A9AEF928-5C6F5C92-3570BE3F-05A16A7B-48E8BFAF-F2C36684-E1062F06-2EFD7BC5-310221D8-41051D84-0FD43486-55154EE6-186C87BD-0E321CC8-3BCBB78F-8BCA3FF6-57328383-90F7A74F-FAF12C24-CDF7F215-5713686F-06AA3A96-476A106E-C0B45366-735BDEFD-2178EF5A-092101F1-3A172D48-A168E6B5-919C56D1-0DD71519"
"2E76B17A0F712728","","2026-01-11 13:42:25.385Z", 122341596, 867900000,0, 7,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-108, -2.8,"40BC7E4A-0180ADEE-0882657C-05BB8773-B24955CE-B9EDE68F-7B060C3B-E8"
"2E76B17A0F712728","","2026-01-11 13:42:39.030Z", 135985572, 867900000,0, 7,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-107, -3.5,"40BC7E4A-0180AEEE-08681A16-D83F28D5-E0F67E41-0C04E291-F2F02A2B-0B"
