"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-11 12:15:06.951Z",   2732003, 867100000,0, 3,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-107, -3.5,"40BC7E4A-018049ED-081C82AF-6BD30721-9234C8D4-9B8271F3-BB96AE03-42920D35-CC23FDBB-F8B5DBC2-329AF540-9AAE5241-FD8A06AF-6D24"
"2E76B17A0F712728","","2026-01-11 12:15:17.101Z",  12884108, 867500000,0, 5,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-35, +6.8,"4085A895-00808804-0286964E-E0456D29-7AD1E09B-4C565BE8-4CDEBF2D-B2"
"2E76B17A0F712728","","2026-01-11 12:15:20.558Z",  16339099, 867300000,0, 4,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-107, -1.5,"40BC7E4A-01804AED-08646866-E402FC58-56379BB6-F5188088-85F077"
"2E76B17A0F712728","","2026-01-11 12:15:34.199Z",  29981955, 868300000,1, 1,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-107, -4.5,"40BC7E4A-01804BED-089CD06E-6AAD972B-E2E25DEB-CA100552-23EAC1"
"2E76B17A0F712728","","2026-01-11 12:15:47.842Z",  43625899, 868300000,1, 1,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-106, -4.8,"40BC7E4A-01804CED-087ECAB8-789A1E2B-FB785150-D24F7D85-BF5E30"
"2E76B17A0F712728","","2026-01-11 12:15:59.223Z",  55005715, 867100000,0, 3,"CRC_OK" , 22,"LORA",125000,"SF7"   ,"4/5",-45, +8.8,"80789ED8-008019B8-0220C476-7738CF0C-9811C566-496F"
"2E76B17A0F712728","","2026-01-11 12:16:00.264Z",  56046916, 867900000,0, 7,"CRC_OK" , 12,"LORA",125000,"SF7"   ,"4/5",-91, +4.0,"60789ED8-00A0F1B3-85E48C5A"
"2E76B17A0F712728","","2026-01-11 12:16:01.486Z",  57268884, 867900000,0, 7,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-107, -3.0,"40BC7E4A-01804DED-0865263C-8A52BDE0-C1F4D3CC-54C00213-EB9077"
"2E76B17A0F712728","","2026-01-11 12:16:15.126Z",  70910763, 868100000,1, 0,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-108, -3.5,"40BC7E4A-01804EED-081F465D-48DB8E70-80A88E18-06B2C750-C60472"
"2E76B17A0F712728","","2026-01-11 12:16:17.911Z",  73695763, 868100000,1, 0,"CRC_OK" ,151,"LORA",125000,"SF7"   ,"4/5",-36, +9.0,"40559CF2-01800C00-08E08FD5-8467B44B-42127AD1-1DB46087-15CCA4FD-E7A4C7C5-3562F18C-50462ABE-04ADD7BD-96A17EA0-4C95E104-0C12622D-379B20DF-CCBBD2B3-EB8E6B45-F1468377-E3BCA29E-CC643E90-9C1E303B-25379356-E314CE03-F3357B17-9A004916-31DFDE6B-492E83B7-358B9F64-AA58559E-FB5B94FC-66CD7DAF-88078199-B3AF1560-6738899F-9A204B32-383F9AD0-BB65B004-8F24FC"
"2E76B17A0F712728","","2026-01-11 12:16:28.770Z",  84553739, 867300000,0, 4,"CRC_OK" , 27,"LORA",125000,"SF7"   ,"4/5",-107, -2.0,"40BC7E4A-01804FED-08C9C57E-39C2F220-ADA9A618-8E0A10CB-11BB98"
