"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-11 13:40:38.563Z",  15517979, 867100000,0, 3,"CRC_OK" , 54,"LORA",125000,"SF7"   ,"4/5",-107, -2.5,"40BC7E4A-0180AAEE-08F9F563-A98D2066-CAB39660-484CFFD4-AD05F7C5-11BFE84F-022F3EFC-2981F172-869BD6E4-15888E62-F1102EEE-EC38"
"2E76B17A0F712728","","2026-01-11 13:40:59.755Z",  36712020, 867700000,0, 6,"CRC_OK" , 18,"LORA",125000,"SF7"   ,"4/5",-34, +9.8,"40559CF2-01801100-08002928-8117C785-E72F"
"2E76B17A0F712728","","2026-01-11 13:41:02.603Z",  39552900, 867900000,0, 7,"CRC_BAD",164,"LORA",125000,"SF7"   ,"4/5",-109,-11.0,"B06AB7ED-1608AAE9-CE953B5C-DF690232-FC44B0C9-09F62471-66B1A113-46574A23-11D65817-35D21BF8-A9AEF928-5C6F5C92-3570BE3F-05A16A7B-48E8BFAF-F2C36684-E1062F06-2EFD7BC5-310221D8-41051D84-0FD43486-55154EE6-186C87BD-0E321CC8-3BCBB78F-8BCA3FF6-57328383-90F7A74F-FAF12C24-CDF7F215-5713686F-06AA3A96-476A106E-C0B45366-735BDEFD-2178EF5A-092101F1-3A172D48-A168E6B5-919C56D1-0DD71519"
"2E76B17A0F712728","","2026-01-11 13:41:07.375Z",  44330915, 867100000,0, 3,"CRC_OK" , 12,"LORA",125000,"SF7"   ,"4/5",-85, +8.2,"60789ED8-00A002B4-FB89BC7A"
"2E76B17A0F712728","","2026-01-11 13:42:52.676Z", 149630507, 867300000,0, 4,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-107, -2.8,"40BC7E4A-0180AFEE-08AC1955-CA16B8BD-E586AA32-703F9968-F17140C6-3B"
"2E76B17A0F712728","","2026-01-11 13:42:57.021Z", 153973956, 868300000,1, 8,"CRC_BAD",147,"LORA",250000,"SF7"   ,"2/3",-104,-12.5,"987BD885-7BBA0B8C-AB5336EE-330E5535-1D099C5D-17414176-B7B77FFC-28BA52C3-99242D86-F7B58C30-62CB9729-104DB549-32747901-5E45D711-97D6226F-37345F68-14AFFA01-482BC761-8CD65192-F45BBCE1-956B6BB1-D7A0FCF5-E985BB03-F82B7A82-7CABF08D-36A3626F-3F41ACA4-F392063C-55450D89-79AC13EF-643A75AB-14DD84C4-E3FF23CB-F5EEC730-E9B2BC84-2FF44A5A-4B763F"
"2E76B17A0F712728","","2026-01-11 13:43:06.302Z", 163257244, 867700000,0, 6,"CRC_OK" , 22,"LORA",125000,"SF7"   ,"4/5",-106, -2.8,"40BC7E4A-0180B0EE-08FB120B-CE4CC6F6-42DEAD49-E7FA"
"2E76B17A0F712728","","2026-01-11 13:43:41.286Z", 198238420, 867500000,0, 5,"CRC_BAD", 88,"LORA",125000,"SF7"   ,""   ,-107,-11.2,"6FBEAEC0-4E1FEB94-036ED268-4FDE856B-2F954A30-6AA1111F-59F3F77A-055BAF43-35361B35-1EFE4BBA-FA251F3C-5E91F8D3-F2636FF0-5429784E-6A454041-7561B9A2-E01BFCBF-984CD097-3046BC9F-E836A647-2F714804-F326D111"
"2E76B17A0F712728","","2026-01-11 13:44:28.242Z", 245194572, 867900000,0, 7,"CRC_OK" , 37,"LORA",125000,"SF7"   ,"4/5",-108, -2.5,"40BC7E4A-0180B6EE-08A95332-3CEA7E58-1A620966-394824DE-DD86A426-1A972CAD-7F922F25-09"
"2E76B17A0F712728","","2026-01-11 13:44:41.889Z", 258840355, 867300000,0, 4,"CRC_OK" , 35,"LORA",125000,"SF7"   ,"4/5",-106, -3.0,"40BC7E4A-0180B7EE-08D47D85-F9D039C5-0D39F8EC-803772B3-8224E79B-D0F7B71D-CEB72A"
"2E76B17A0F712728","","2026-01-11 13:45:21.022Z", 297976075, 867100000,0, 3,"CRC_OK" , 24,"LORA",125000,"SF7"   ,"4/5",-33, +8.8,"40559CF2-01801200-08303E22-8A6EAD48-AC8D33AF-EEF2FFF8"
"2E76B17A0F712728","","2026-01-11 13:45:22.845Z", 299798099, 867100000,0, 3,"CRC_OK" , 35,"LORA",125000,"SF7"   ,"4/5",-107, -3.0,"40BC7E4A-0180BAEE-08307014-41A00D8A-79D5C2D6-A62A174A-5EA307BF-682A208C-E65B3F"
"2E76B17A0F712728","","2026-01-11 13:45:26.061Z", 303008836, 867700000,0, 6,"CRC_BAD",246,"LORA",125000,"SF7"   ,"4/7",-108,-11.0,"D0FCBA60-55F17260-AB689284-3D3F75F9-53D41460-FFB14B36-F012ACC2-2179C6C5-978973D2-6D0EFABC-6D58E4C9-5AFAB316-E7DB3444-B090622B-53C118E3-36355EE7-BFE691EE-4288EFE5-093A9E8F-3B1658DA-AE695602-84FD87E2-194CA7E6-B5B62FEB-6A354672-272573ED-7316E110-F21E6BEB-FE073E0B-ED58FF22-AE53B640-FDD0F33E-B78D3B66-3FB8BBE4-31215388-71F8C419-E18E313A-4BD81841-9BFFCCD6-CB386B3F-5060841C-1F4638E7-66E75BC5-4114FED3-46BB5BC2-C3D0A9E0-3F58FFF6-2FEA3A95-84A838D2-D74DF960-3F11782C-4919B963-CADAEB6A-CB7C6965-4C353E2C-CEB8C517-488DD267-37E24665-3CBD00F1-DEC2B64E-98066F30-7A2F"
"2E76B17A0F712728","","2026-01-11 13:46:04.282Z", 341237012, 867900000,0, 7,"CRC_OK" , 22,"LORA",125000,"SF7"   ,"4/5",-45, +9.8,"80789ED8-00802BB8-0243FFFC-F72BD052-C0E7C026-1CF6"
"2E76B17A0F712728","","2026-01-11 13:46:05.325Z", 342278203, 867100000,0, 3,"CRC_OK" , 12,"LORA",125000,"SF7"   ,"4/5",-87, +8.8,"60789ED8-00A003B4-2D308579"
"2E76B17A0F712728","","2026-01-11 13:46:17.458Z", 354413099, 868100000,1, 0,"CRC_OK" , 37,"LORA",125000,"SF7"   ,"4/5",-107, -2.8,"40BC7E4A-0180BEEE-085B1643-8872C390-75D95D5F-12595F4F-EE482E67-FC892BCD-8FCAEC39-59"
"2E76B17A0F712728","","2026-01-11 13:46:31.111Z", 368065980, 867500000,0, 5,"CRC_OK" , 37,"LORA",125000,"SF7"   ,"4/5",-107, -3.0,"40BC7E4A-0180BFEE-0887578B-E63216E7-F70FA26A-E00AF9C9-D8200302-CF77289C-6CE857BB-1A"
"2E76B17A0F712728","","2026-01-11 13:46:58.394Z", 395347659, 868500000,1, 2,"CRC_OK" , 30,"LORA",125000,"SF7"   ,"4/5",-106, -4.5,"40BC7E4A-01C0C1EE-089513CA-2E4FB974-FDD092BA-629429DE-CD6F3B31-21E1"
