"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-13 12:12:10.814Z",  13292068, 867100000,0, 3,"CRC_OK" , 24,"LORA",125000,"SF12"  ,"4/5",-54, +8.2,"40C6853B-01800000-086D760C-BF0482D0-0CB19891-299970ED"
"2E76B17A0F712728","","2026-01-13 12:12:13.132Z",  15610956, 867900000,0, 7,"CRC_OK" , 18,"LORA",125000,"SF12"  ,"4/5",-107, +1.2,"60C6853B-01860000-0351FF00-01064C51-89DB"
"2E76B17A0F712728","","2026-01-13 12:12:44.743Z",  47249795, 867300000,0, 4,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-96, +7.0,"607A0800-48850800-0355FF00-011C5517-E2"
"2E76B17A0F712728","","2026-01-13 12:12:55.586Z",  58064532, 868300000,1, 1,"CRC_OK" , 23,"LORA",125000,"SF12"  ,"4/5",-63, +8.5,"00060000-00000000-80FD4A30-3220F1F7-2C0F8A66-A2B79A"
"2E76B17A0F712728","","2026-01-13 12:13:12.048Z",  74552387, 867300000,0, 4,"CRC_BAD",255,"LORA",125000,"SF7"   ,"4/7",-108,-11.2,"3F21FBB7-7275B4E0-8133F3D9-8BEDC148-88850856-450F9C63-7471E640-E0A13AFC-A16632C4-124EB143-C3FE5443-D0037185-10647ED2-978F7EA5-E0DEA69B-16E4599E-5BF9A249-B1594EB4-153CDECC-B864D510-6DBD9996-AE617171-567ED9B4-36F91FF4-9DFE493F-554D0E1C-C5044B9B-8510876F-57D2CAFD-96051069-CD34E6CB-A0217F2F-08C2FCEA-CA6E7862-DE8819F1-19D0472F-77807B99-3BCB9759-A410B4CE-7A00FDA7-FF5D51BD-DAC63EB5-72008643-61D6B02D-AD253527-E878C033-92C5FDF9-12F5F356-19E88EAF-2A3196C1-5D203F46-C04B61E0-18AC03CA-21B04E4F-B9FC7890-EC374DA4-CDF6900F-A33FD0AA-B3D92558-25BEA15D-24BE5003-908B1111-5E015FBD-5F820E"
"2E76B17A0F712728","","2026-01-13 12:13:31.829Z",  94307012, 868300000,1, 1,"CRC_OK" , 23,"LORA",125000,"SF12"  ,"4/5",-61, +7.5,"00060000-00000000-80FD4A30-3220F1F7-2C13C9BB-FD6CC1"
"2E76B17A0F712728","","2026-01-13 12:13:38.638Z", 101117420, 867700000,0, 6,"CRC_OK" , 33,"LORA",125000,"SF12"  ,"4/5",-103,-13.5,"201FD0FC-7932CE8A-DC60CFCE-8167E124-E54950A4-5D10D4F9-CA4C1C82-47F34A63-71"
"2E76B17A0F712728","","2026-01-13 12:13:51.279Z", 113756764, 867300000,0, 4,"CRC_OK" , 24,"LORA",125000,"SF12"  ,"4/5",-53, +9.8,"40EA15F2-00800000-08F15A7E-F8D05387-A367CDD1-50EE18F5"
"2E76B17A0F712728","","2026-01-13 12:13:53.598Z", 116075660, 867700000,0, 6,"CRC_OK" , 18,"LORA",125000,"SF12"  ,"4/5",-39,+11.5,"60EA15F2-00860000-0351FF00-0106C577-B43F"
"2E76B17A0F712728","","2026-01-13 12:14:12.178Z", 134671548, 868500000,1, 2,"CRC_OK" , 33,"LORA",125000,"SF11"  ,"4/5",-107, -5.8,"209ACFA5-F2FD2AE3-92BFE43F-97F7965B-6F539C76-4E6CA6D6-30D3D5A0-7CA8D268-8E"
"2E76B17A0F712728","","2026-01-13 12:15:37.738Z", 220242219, 867300000,0, 4,"CRC_OK" , 22,"LORA",125000,"SF7"   ,"4/5",-79,+10.0,"80789ED8-00805EBA-025D10A0-632A5526-801EDC70-FFA6"
"2E76B17A0F712728","","2026-01-13 12:15:38.778Z", 221283420, 867700000,0, 6,"CRC_OK" , 12,"LORA",125000,"SF7"   ,"4/5",-39,+10.5,"60789ED8-00A030B6-4844F10A"
