"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-13 14:12:54.310Z",  23917843, 867300000,0, 4,"CRC_OK" , 24,"LORA",125000,"SF7"   ,"4/5",-69, +9.2,"40DA315A-00800800-0851CB5F-FA5228AC-95D2F1F0-6FBBA120"
"2E76B17A0F712728","","2026-01-13 14:13:10.710Z",  40318667, 868100000,1, 0,"CRC_OK" , 24,"LORA",125000,"SF7"   ,"4/5",-81, +8.2,"40DA315A-00800900-0869886F-313CDD18-B61A91D6-8DE9C808"
"2E76B17A0F712728","","2026-01-13 14:13:12.426Z",  42006500, 867300000,0, 4,"CRC_OK" , 33,"LORA",125000,"SF12"  ,"4/5",-108,-19.0,"60FFB157-00800503-005A27AC-A942A3A6-4753E0DA-59E6B13F-D85CD0A0-0D6D3269-C0"
"2E76B17A0F712728","","2026-01-13 14:14:18.194Z", 107803212, 867500000,0, 5,"CRC_BAD",142,"LORA",125000,"SF7"   ,"4/7",-107,-12.0,"AECBCF85-1C5CB33B-B9299614-724DA6F4-08B94B96-0ED36C72-BE8B0F4D-825F05A9-886FEBF5-EAD4E0FA-E4E324F9-1E115AAF-B14D022B-0F5C674C-384A787B-54FDD1AA-AA04093D-2235D3B4-94D427B2-326E96E4-CECC8968-A8386576-9C1B866D-4D50F6C0-6E83C81A-42611AD8-B4270C42-EDC6D602-D87AC891-0FFDE488-A76E81DE-CEB31A1E-B77AC5E4-C39B6E53-5CC8B8C8-DBDD"
"2E76B17A0F712728","","2026-01-13 14:14:50.245Z", 139854547, 867100000,0, 3,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-75,+10.0,"4085A895-0080E006-02A4997B-0A8D635C-505531D2-EB1B06D4-13E68E7B-71"
"2E76B17A0F712728","","2026-01-13 14:14:59.407Z", 148989548, 868500000,1, 2,"CRC_BAD", 33,"LORA",125000,"SF12"  ,"4/5",-108,-21.0,"606F99BB-C080F200-003EA6BB-75D3F34E-A714F6CD-11112B57-0B8D4083-E431B51E-F0"
"2E76B17A0F712728","","2026-01-13 14:15:33.107Z", 182714556, 867500000,0, 5,"CRC_BAD", 53,"LORA",125000,"SF7"   ,"4/7",-108,-12.0,"A5BD820F-AC94DEA0-46139CBF-49F479B3-BBA84E39-6787DBA3-DF7D0925-7C69C545-6E8E52C8-7649CE94-4076F87B-0A4569CF-D2778D0E-99"
"2E76B17A0F712728","","2026-01-13 14:15:34.448Z", 184057995, 868100000,1, 0,"CRC_OK" , 22,"LORA",125000,"SF7"   ,"4/5",-90, +8.2,"80789ED8-008076BA-021E9F33-A4D11ACF-A5187449-0911"
"2E76B17A0F712728","","2026-01-13 14:16:06.475Z", 216056868, 868500000,1, 2,"CRC_OK" , 24,"LORA",125000,"SF12"  ,"4/5",-106,-20.2,"60CFA697-008C152C-07068866-84500707-586E8450-3CA37896"
"2E76B17A0F712728","","2026-01-13 14:16:27.525Z", 237134235, 868500000,1, 2,"CRC_BAD", 52,"LORA",125000,"SF7"   ,"2/3",-107,-11.5,"6D4675BA-5E090CD8-A1D6A36C-9B3A72B6-AED0C79C-5AF292D4-4BD8A300-3C24871E-B98C8BD2-B009795F-F387A78F-88A8E413-A1691CDD"
