"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-13 11:55:42.991Z",  13121068, 867500000,0, 5,"CRC_OK" , 12,"LORA",125000,"SF7"   ,"4/5",-37, +8.5,"60789ED8-00A02CB6-676BD83A"
"2E76B17A0F712728","","2026-01-13 11:55:43.408Z",  13539012, 867700000,0, 6,"CRC_BAD",  1,"LORA",125000,"SF7"   ,""   ,-106, -5.0,"CA"
"2E76B17A0F712728","","2026-01-13 11:56:40.829Z",  70960307, 868300000,1, 1,"CRC_BAD",102,"LORA",125000,"SF7"   ,"2/3",-107,-12.0,"5FEEA7F7-7B132140-9D9DA909-01012E95-4461F3FD-BAD49053-22BC63AE-A240E5FA-AF3583F3-4BAF8589-598B8797-0CC7F344-BC681C60-A73E2D37-D684AB36-BFFD1487-589DD8AF-3C22D1F9-78253763-8F8650C0-A4201D90-61CB2724-D939FEED-BF0D0961-B977902B-1A07"
"2E76B17A0F712728","","2026-01-13 11:57:24.709Z", 114839011, 867100000,0, 3,"CRC_OK" , 24,"LORA",125000,"SF7"   ,"4/5",-71, +9.5,"4011FB63-01800800-08AAB1C8-D6BAE00D-4856F5D5-47BA9DD5"
"2E76B17A0F712728","","2026-01-13 11:58:07.777Z", 157909739, 868500000,1, 2,"CRC_BAD", 22,"LORA",125000,"SF7"   ,""   ,-107,-11.8,"6ED96C52-224181BB-89A361B8-5CBDFFF8-45ADB7E4-9B28"
"2E76B17A0F712728","","2026-01-13 11:58:29.547Z", 179649468, 867100000,0, 3,"CRC_OK" , 18,"LORA",125000,"SF12"  ,"4/5",-106, +2.0,"60B15D08-01860000-0351FF00-01060B1F-6EAA"
"2E76B17A0F712728","","2026-01-13 11:59:42.480Z", 252611315, 868500000,1, 2,"CRC_BAD",170,"LORA",125000,"SF7"   ,"1/2",-108,-10.5,"27703E77-A6D5F09C-A46511AC-D3C3F018-896E8F98-80DD2985-CA92ABFC-38E838F5-B46F2018-172B8F4E-C4FBB24B-5D54FF1C-91234DE2-8F7000A6-84D0160B-6717453C-48888BEC-6E6BBAAB-469297C7-46D282D4-9229D626-6A04980A-7B33574C-13510050-E490AE06-AA861EC3-8DDBE38C-3370C279-A7CC937E-3760AA94-E62E4823-BEB2E3ED-2747B081-63E7504B-61BD8269-90D3B65F-2F05D5FC-3CB20077-658E3186-173EDD50-C2FCE5EA-B0553332-88B3"
"2E76B17A0F712728","","2026-01-13 11:59:45.739Z", 255870692, 867900000,0, 7,"CRC_OK" , 29,"LORA",125000,"SF7"   ,"4/5",-75,+10.2,"4085A895-0080C506-02537FCD-A6FD490E-4E8030F6-2E3BD7DF-90652497-D1"
"2E76B17A0F712728","","2026-01-13 12:00:23.338Z", 293467497, 868300000,1, 8,"CRC_BAD",190,"LORA",250000,"SF7"   ,"4/7",-107,-11.8,"2EF6AC48-F69A27A5-671142CC-F05DF5A5-D889A273-DCB792D5-BE889082-5ED27EC2-B33B3066-836E1998-EE1ECEB8-F0BB49C7-03F1FD83-4374FB71-CDE96922-717D1698-6588888D-A21527EC-550FE5E4-CDF9A85D-3D9A1005-CAC32B37-C3523985-CDBE216E-E475578A-52ED1CA0-7280E754-576ABA85-DE66C448-A694B097-D5CC8240-488EC654-B3ACA9C0-C5BFEA6D-97D917CB-2AD825C5-F778ACB4-C07625F0-3E72A1F6-2681EBA3-632EABF5-E6E7DF4D-4470DF95-DDFBB207-AFB4AC32-5BC69640-7101594D-2268"
"2E76B17A0F712728","","2026-01-13 12:00:41.897Z", 312026691, 868100000,1, 0,"CRC_OK" , 22,"LORA",125000,"SF7"   ,"4/5",-93, +9.2,"80789ED8-00805BBA-02B9F683-67EBD9A5-8FC5AC5D-1F98"
"2E76B17A0F712728","","2026-01-13 12:00:57.417Z", 327547595, 867300000,0, 4,"CRC_OK" , 31,"LORA",125000,"SF7"   ,"4/5",-103, +1.0,"60BC7E4A-0180B054-00D4EFBC-0DB18C24-264AF7E6-C6D7ADFC-9C551C1C-E3FC47"
