"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"2E76B17A0F712728","","2026-01-15 16:49:05.385Z",  25676748, 868100000,1, 0,"CRC_OK" , 23,"LORA",125000,"SF12"  ,"4/5",-65, +9.8,"00060000-00000000-80FD4A30-3220F1F7-2C7BBA6D-BB5E47"
"2E76B17A0F712728","","2026-01-15 16:49:12.195Z",  32487164, 867900000,0, 7,"CRC_OK" , 33,"LORA",125000,"SF12"  ,"4/5",-107,-14.5,"20488694-2D45F491-C64C8A57-E347C6BC-94E517FD-B178E46B-42190657-CB222623-42"
"2E76B17A0F712728","","2026-01-15 16:49:16.572Z",  36864572, 867100000,0, 3,"CRC_OK" , 24,"LORA",125000,"SF12"  ,"4/5",-57, +5.5,"401274CC-01800000-08A21B84-5E494EE0-DE3C61DB-7A2F3465"
"2E76B17A0F712728","","2026-01-15 16:49:17.458Z",  37776979, 867100000,0, 3,"CRC_OK" , 24,"LORA",125000,"SF7"   ,"4/5",-41,+10.2,"6085A895-008CD510-07068866-84500707-586E8450-F9EA0FC3"
"2E76B17A0F712728","","2026-01-15 16:49:18.890Z",  39183468, 867900000,0, 7,"CRC_OK" , 18,"LORA",125000,"SF12"  ,"4/5",-105, +2.2,"601274CC-01860000-0351FF00-01064BC8-DCA9"
